sample	color	PC1	PC2	PC3
Ames10249	1	1.5637937374	-4.7615048164	-1.5057828112
Ames10250	0	3.2176720426	-5.2760187331	-0.9629824952
Ames10254	1	7.4567738036	-5.7887990334	-1.6216703388
Ames10256	0	2.4213885115	-4.040611504	-2.663655945
Ames10259	0	4.7974732247	-2.5911381991	-0.376821411
Ames10260	0	2.3537813679	-2.2523079549	-2.4756108771
Ames10273	0	4.6813854628	-1.5799001923	-2.2169083922
Ames10276	0	4.0980056924	-3.7091067926	-2.0790048829
Ames10277	0	5.2320708796	-3.4981697804	-1.8125079041
Ames12725	1	4.5881234755	-1.9731104071	-1.2635481235
Ames12726	1	2.7021379935	-2.4642377709	-2.2074537567
Ames12727	1	4.3400331187	-2.5623817964	-1.3609646163
Ames12728	1	6.9502302786	-4.0464952142	-5.2179113718
Ames12733	1	5.8397759847	-3.2812767369	1.0477744418
Ames12736	1	3.6771875659	-4.535310157	-0.8520730722
Ames12738	1	5.8248452343	-2.4528870016	-1.2268467624
Ames12739	1	4.2394049991	-4.8456178093	-3.1730591868
Ames12816	1	3.1541466372	-4.4536223933	9.1421151707
Ames12817	1	1.5444205833	0.4031122418	9.9742707319
Ames12818	1	-28.4995765065	1.7853256001	-4.8324171363
Ames12820	1	2.7622029035	-1.6692244567	9.5029707304
Ames12822	1	-1.3437292295	-0.8695952628	6.6913589172
Ames14111	1	4.310659068	-1.9508143155	0.8890344569
Ames14112	0	2.8325908424	-4.8930956558	-0.4953101408
Ames14113	1	7.301047674	-1.2990256159	3.6852439842
Ames14408	0	6.0530605339	-8.4513920779	-9.1584967822
Ames19001	1	-0.4155230475	-0.7413898166	0.2935568944
Ames19003	1	-0.745143735	-0.7240272235	2.4527090684
Ames19004	1	2.4666464345	0.9121992741	2.6781784043
Ames19006	1	4.7608338834	-3.6298515402	10.9914914811
Ames19007	1	6.9309790747	-5.5642873091	13.689206029
Ames19008	1	6.3410494167	-4.6196730485	12.6617796567
Ames19009	1	5.3310212154	-6.8337474695	19.7062166282
Ames19012	1	5.8446309389	-4.6580377635	13.7301758238
Ames19013	1	5.035635552	-4.1474802381	14.3415480252
Ames19015	1	6.7032648159	-2.43500417	0.197136735
Ames19017	1	3.3902007009	-3.040519835	-0.6565540056
Ames19019	1	1.4971441756	-3.8879246195	15.2131842477
Ames19318	1	1.491661856	-4.2466205869	5.992723111
Ames19321	1	-2.3016435978	2.462936717	3.7036520688
Ames20116	0	1.3870931291	-1.5950214182	-2.0905461568
Ames20118	0	2.0430973711	-2.3717937047	-1.7580400543
Ames20119	1	5.5906382566	0.1376375064	0.1049650276
Ames20136	0	4.1080080799	-0.319709979	-0.4086393564
Ames20137	0	2.1291096211	-1.7521642502	0.3518229574
Ames20191	1	2.3814179103	1.9074346305	1.5065183666
Ames21095	1	4.3813702236	-1.4440530073	-2.4531734095
Ames21096	1	3.0893142883	-0.0184774657	-1.7736363181
Ames22011	1	10.8335778049	26.9641771305	-3.0488592931
Ames22012	1	10.4930668476	22.9179335806	-3.4573117239
Ames22013	1	9.5141276097	24.1376239232	-1.9932480444
Ames22014	1	3.2587279104	-4.3743487739	5.3554302876
Ames22015	1	9.9426342753	26.4695069452	-1.2848234944
Ames22016	1	7.8410485065	20.0073949445	-1.6191963961
Ames22017	1	10.533121156	24.3079977656	-1.3470559401
Ames22018	1	9.7213737897	16.0971740441	-3.1479462749
Ames22019	1	9.283997929	23.4533934601	-2.147729554
Ames22020	1	13.7773543285	31.7044622056	-2.8474171993
Ames22021	1	13.6183403038	31.8667530703	-3.0119653763
Ames22022	1	11.3424565463	24.4950762762	-2.4007010034
Ames22023	1	5.7314663593	20.6534556874	-1.5443536443
Ames22024	1	6.8754656243	7.4065585895	7.8907808521
Ames22025	0	7.998908576	14.6633458113	-3.1164379236
Ames22026	0	7.4414971266	15.9721166885	-1.1670967827
Ames22027	0	8.602488667	15.6367141198	-2.4940785368
Ames22028	1	6.493087457	13.8632368594	-0.5408242659
Ames22029	1	11.398381755	21.4999176928	-1.8368761574
Ames22030	1	13.9712065931	30.8520493814	-3.4047012053
Ames22031	1	5.7231915393	11.7146839333	-1.5518397849
Ames22032	1	14.0413628842	31.2576827585	-3.394121875
Ames22033	1	10.8145454594	24.1871154829	-1.3225949682
Ames22034	1	10.7318794885	26.4472021659	-2.1394148586
Ames22035	1	3.5882373422	2.3334869955	5.06400433
Ames22036	1	12.8601232541	30.8229852147	-3.6050454826
Ames22037	1	10.5101840972	23.8993662964	-0.7518100626
Ames22038	1	9.3768011689	21.4555018212	-1.0760738803
Ames22039	1	8.8050864602	20.2361131206	-1.2086484946
Ames22040	1	9.3245991886	20.8824577518	-1.4227675099
Ames22041	1	9.8003025859	24.1540873749	-2.165367402
Ames22042	1	11.5292471679	28.8495256583	-3.3979502154
Ames22043	1	8.6028607092	20.7654489935	-1.5154066645
Ames22044	1	10.4754361462	24.3352101674	-1.6952297552
Ames22045	1	9.2964453916	14.5588799188	-2.8257636808
Ames22046	1	10.2421098278	21.7174110311	-3.3117671187
Ames22047	1	10.9834597807	24.8348107651	-2.116582833
Ames22048	1	13.6599197681	30.9343286254	-2.5698951798
Ames22049	1	10.9925903364	24.5887639229	-1.8103250064
Ames22050	1	10.5320836	27.0666536267	-3.2426932958
Ames22051	1	10.824631899	23.5899456243	-2.8854235712
Ames22052	1	11.4546628113	25.4039639933	-3.4041265935
Ames22053	1	9.0141168801	21.4319823663	-1.9527003958
Ames22054	1	12.3144060511	28.7822660514	-2.8356488876
Ames22055	1	11.572511519	28.841215028	-3.4665675457
Ames22056	1	10.5929172977	26.4485446193	-3.4160572286
Ames22057	1	3.8374745441	16.6468045651	-3.1957570085
Ames22058	1	13.6407180556	30.6057112522	-3.6106929487
Ames22059	1	8.0136293898	23.3559690794	-3.6791659162
Ames22060	1	6.0849436482	19.8804341101	-1.6752474405
Ames22061	1	10.7373685719	28.4917739994	-3.8723087029
Ames22062	1	13.2593216856	29.4219874172	-3.1186156601
Ames22064	1	10.6470976385	23.5505688813	-3.1402551248
Ames22065	1	8.0114134646	11.8450221419	6.9494321471
Ames22066	1	12.0364791162	28.8584469111	-3.601713779
Ames22067	1	10.9170416548	27.4287555142	-1.9045667117
Ames22439	1	-1.1213305602	-1.0879979741	6.356682931
Ames22441	1	1.0365007571	-0.8332782851	4.1758028755
Ames22442	1	3.8906497601	-1.1781263345	-1.0241404506
Ames22747	1	4.0021599169	0.047395183	0.0639269239
Ames22748	1	-14.2965023861	0.6948494122	4.6059713403
Ames22749	0	3.8085019441	-4.4600683142	6.5381865776
Ames22751	1	-12.1485301194	1.0317144711	1.2168881414
Ames22752	1	-18.8426868314	0.9514462095	0.4866552148
Ames22753	1	-31.8474947049	3.6845804769	-10.418033339
